===== WPFI OUTPUT =====
dataset = D:\Phan-mem-huong-doi-tuong-main\src\data\chess.txt
input   = D:\Phan-mem-huong-doi-tuong-main\src\input.txt
MSUP=3  T=0.15  useExactTail=false
transactions=500
----------------------------------------------
Itemset	k	mu	pTail	avgW	score
{32}	1	39.722783	1.000000	0.983444	0.983444
{17, 32}	2	16.307753	0.999988	0.975173	0.975160
{17}	1	226.531639	1.000000	0.966901	0.966901
{32, 48}	2	19.136949	0.999999	0.941620	0.941619
{17, 48}	2	112.913456	1.000000	0.933348	0.933348
{32, 7}	2	19.468701	0.999999	0.932710	0.932709
{32, 72}	2	15.270309	0.999969	0.924518	0.924489
{17, 7}	2	113.868233	1.000000	0.924438	0.924438
{17, 72}	2	102.959970	1.000000	0.916246	0.916246
{17, 71}	2	35.630649	1.000000	0.912526	0.912526
{32, 34}	2	17.068720	0.999994	0.911567	0.911561
{17, 65}	2	18.169032	0.999998	0.904484	0.904481
{17, 34}	2	114.742574	1.000000	0.903295	0.903295
{48}	1	243.452750	1.000000	0.899795	0.899795
{17, 47}	2	20.101321	1.000000	0.895622	0.895622
{17, 73}	2	17.522698	0.999996	0.892573	0.892569
{48, 7}	2	118.055311	1.000000	0.890885	0.890885
{48, 72}	2	114.024476	1.000000	0.882693	0.882693
{32, 38}	2	13.476049	0.999852	0.882435	0.882305
{7}	1	244.164691	1.000000	0.881975	0.881975
{48, 71}	2	40.278992	1.000000	0.878973	0.878973
{32, 36}	2	20.517452	1.000000	0.876469	0.876469
{32, 65}	2	6.559149	0.958805	0.912755	0.875154
{17, 38}	2	84.687454	1.000000	0.874164	0.874164
{7, 72}	2	105.599831	1.000000	0.873783	0.873783
{48, 65}	2	21.988202	1.000000	0.870931	0.870930
{7, 71}	2	39.675059	1.000000	0.870063	0.870063
{34, 48}	2	118.123909	1.000000	0.869742	0.869742
{17, 36}	2	112.414001	1.000000	0.868198	0.868198
{72}	1	226.587445	1.000000	0.865591	0.865591
{47, 48}	2	23.622066	1.000000	0.862069	0.862069
{65, 7}	2	22.046254	1.000000	0.862021	0.862020
{71, 72}	2	33.165317	1.000000	0.861871	0.861871
{34, 7}	2	118.607384	1.000000	0.860832	0.860832
{12, 17}	2	40.699564	1.000000	0.859835	0.859835
{48, 73}	2	17.728372	0.999996	0.859020	0.859017
{71}	1	79.534500	1.000000	0.858151	0.858151
{32, 58}	2	18.366628	0.999998	0.856655	0.856653
{65, 72}	2	13.242336	0.999819	0.853829	0.853674
{47, 7}	2	23.289849	1.000000	0.853159	0.853159
{34, 72}	2	107.182781	1.000000	0.852640	0.852640
{32, 42}	2	17.715919	0.999996	0.852377	0.852374
{7, 73}	2	21.094985	1.000000	0.850110	0.850110
{34, 71}	2	40.641391	1.000000	0.848920	0.848920
{17, 58}	2	109.960935	1.000000	0.848383	0.848383
{32, 73}	2	6.059753	0.940645	0.900845	0.847375
{47, 72}	2	27.111459	1.000000	0.844967	0.844967
{17, 42}	2	109.843658	1.000000	0.844106	0.844106
{65}	1	40.655259	1.000000	0.842066	0.842066
{24, 32}	2	20.046184	1.000000	0.841673	0.841672
{34, 65}	2	21.019677	1.000000	0.840877	0.840877
{38, 48}	2	85.867217	1.000000	0.840610	0.840610
{34}	1	240.414392	1.000000	0.839689	0.839689
{17, 31}	2	88.233298	1.000000	0.835082	0.835082
