===== WPFI OUTPUT =====
dataset = D:\Phan-mem-huong-doi-tuong-main\src\data\mushrooms.txt
input   = D:\Phan-mem-huong-doi-tuong-main\src\input.txt
MSUP=2  T=0.1  useExactTail=false
transactions=100
----------------------------------------------
Itemset	k	mu	pTail	avgW	score
{42}	1	48.671899	1.000000	0.966901	0.966901
{108, 42}	2	13.566231	0.999981	0.933348	0.933331
{21, 42}	2	11.837233	0.999907	0.924438	0.924352
{42, 90}	2	27.760605	1.000000	0.903295	0.903295
{108}	1	25.414213	1.000000	0.899795	0.899795
{108, 42, 90}	3	7.491822	0.995265	0.902128	0.897857
{21, 42, 90}	3	6.739408	0.990842	0.896188	0.887981
{21}	1	28.543649	1.000000	0.881975	0.881975
{108, 21}	2	6.405111	0.987759	0.890885	0.879979
{42, 97}	2	22.205972	1.000000	0.874164	0.874163
{108, 42, 94}	3	6.655996	0.990152	0.878730	0.870076
{108, 90}	2	13.827314	0.999985	0.869742	0.869729
{108, 42, 97}	3	6.103021	0.984117	0.882707	0.868687
{42, 94}	2	24.237235	1.000000	0.868198	0.868197
{42, 90, 97}	3	13.098582	0.999971	0.862672	0.862647
{21, 90}	2	15.581495	0.999997	0.860832	0.860830
{42, 90, 94}	3	13.797188	0.999985	0.858695	0.858682
{21, 42, 94}	3	5.850183	0.980276	0.872790	0.855575
{42, 9}	2	9.288922	0.999049	0.848383	0.847576
{113, 42}	2	10.666429	0.999728	0.844106	0.843876
{21, 42, 97}	3	5.078923	0.962149	0.876767	0.843581
{21, 42, 88}	3	6.724953	0.990726	0.850713	0.842823
{108, 97}	2	12.266411	0.999938	0.840610	0.840558
{108, 42, 88}	3	5.862114	0.980476	0.856653	0.839927
{90}	1	55.275895	1.000000	0.839689	0.839689
{42, 94, 97}	3	10.800488	0.999759	0.839274	0.839072
{42, 88, 90}	3	13.883923	0.999986	0.836617	0.836606
{42, 88}	2	25.001638	1.000000	0.835082	0.835081
{108, 94}	2	12.075193	0.999925	0.834645	0.834582
{108, 90, 97}	3	6.930144	0.992245	0.840303	0.833787
{21, 97}	2	13.739922	0.999984	0.831701	0.831687
{21, 90, 97}	3	7.141210	0.993554	0.834363	0.828985
{21, 90, 94}	3	7.752650	0.996240	0.830386	0.827264
{21, 23, 42}	3	6.467249	0.988400	0.835819	0.826124
{108, 42, 57}	3	7.460992	0.995134	0.830149	0.826110
{21, 94}	2	13.725993	0.999984	0.825735	0.825721
{113, 42, 90}	3	5.721110	0.977981	0.842633	0.824080
{108, 90, 94}	3	6.016126	0.982887	0.836326	0.822014
{108, 39, 42}	3	6.266958	0.986207	0.833393	0.821898
{23, 42, 90}	3	14.056019	0.999988	0.821724	0.821714
{108, 23, 42}	3	5.508141	0.973618	0.841759	0.819552
{42, 88, 97}	3	11.129307	0.999822	0.817196	0.817051
{21, 42, 57}	3	6.516639	0.988886	0.824209	0.815049
{39, 42, 90}	3	13.841564	0.999986	0.813358	0.813346
{42, 88, 94}	3	13.175845	0.999973	0.813219	0.813197
{21, 39, 42}	3	6.001187	0.982666	0.827453	0.813110
{23, 42}	2	24.173256	1.000000	0.812742	0.812741
{42, 9, 90}	3	4.985850	0.959093	0.845485	0.810899
{90, 97}	2	26.997294	1.000000	0.810558	0.810557
{42, 57, 90}	3	14.682409	0.999993	0.810114	0.810109
{21, 88, 90}	3	9.644144	0.999310	0.808309	0.807751
{90, 94}	2	27.111421	1.000000	0.804592	0.804591
{23, 42, 97}	3	10.806375	0.999761	0.802303	0.802111
{108, 88}	2	11.788679	0.999903	0.801529	0.801451
